<<<<<<< HEAD
﻿material_number,gpl_group
K1009421,Kissling Relays
K1009423,Kissling Relays
K1009454,Kissling Relays
K1009461,Kissling Relays
K1009464,Kissling Relays
K1009612,All Others
K1010482,Kissling Inductive Switches
K1010499,Kissling Relays
K1010695,Kissling Relays
K1010788,Kissling Relays
K1010829,Kissling Inductive Switches
K1010834,Kissling Relays
K1010834-1,Kissling Relays
K1010987,Kissling Relays
K1010996,All Others
K1011199,All Others
K1011435,Kissling Inductive Switches
K1011721,Kissling Relays
K1011761,Kissling Relays
K1011766,Kissling Relays
K1012028,Kissling Relays
K1012043,Kissling Relays
K1012050,Kissling Inductive Switches
K1012081,Kissling Relays
K1012341,All Others
K1012380,Kissling Inductive Switches
K1012814,Kissling Relays
K1012854,Kissling Relays
K1012888,Kissling Relays
K1012889,Kissling Relays
K1012916,Kissling Relays
K1012918,Kissling Relays
K1012919,Kissling Relays
K1013048,All Others
K1013079,All Others
K1013120,Kissling Relays
K1013133,Kissling Relays
K1013134,Kissling Relays
K1013135,Kissling Relays
K1013137,Kissling Relays
K1013142,Kissling Relays
K1013153,Kissling Relays
K1013188,Kissling Relays
K1013398,Kissling Relays
K1013399,Kissling Relays
K1013409,Kissling Limit Switches
K1013449,Kissling Inductive Switches
K1013507,Kissling Relays
K1013577,Kissling Relays
K1013578,Kissling Relays
K1013579,Kissling Relays
K1013582,Kissling Relays
K1013583,Kissling Relays
K1013592,Kissling Relays
K1013626,Kissling Relays
K1013627,Kissling Relays
K1013636,Kissling Relays
K1013637,Kissling Relays
K1013648,Kissling Relays
K1013760,Kissling Relays
K1013769,Kissling Relays
K1013796,Kissling Relays
K1013887,Kissling Relays
K1013891,Kissling Relays
K1013960,Kissling Relays
K1014162,All Others
K1014504,All Others
K1014772,All Others
K1014828,Kissling Relays
K1014846,Kissling Relays
K1014847,Kissling Relays
K1014865,Kissling Relays
K1014868,Kissling Relays
K1014951,Kissling Relays
K1014959,Kissling Relays
K1014978,Kissling Relays
K1015458,Kissling Relays
K1016077,All Others
K1016177,Kissling Limit Switches
K1016318,Kissling Limit Switches
K1016602,Kissling Limit Switches
K1016609,Kissling Limit Switches
K1016680,Kissling Limit Switches
K1016690,Kissling Limit Switches
K1016714,Kissling Limit Switches
K1016715,Kissling Limit Switches
K1016717,Kissling Limit Switches
K1016815,Kissling Limit Switches
K1018569,All Others
K1018608,All Others
K1018833,Kissling Relays
K1018878,Kissling Relays
K1018903,All Others
K1018914,Kissling Relays
K1018957,Kissling Relays
K1018968,Kissling Relays
K1018985,All Others
K1019100,Kissling Limit Switches
K1019144,Kissling Limit Switches
K1019161,Kissling Limit Switches
K1019196,Kissling Limit Switches
K1019293,Kissling Limit Switches
K1019616,Kissling Limit Switches
K1019900,Kissling Limit Switches
K1020096,Kissling Inductive Switches
K1020115,Kissling Relays
K1020908,Kissling Relays
K1020952,Kissling Inductive Switches
K1021032,Kissling Relays
K1021035,Kissling Relays
K1021043,Kissling Relays
K1021253,Kissling Inductive Switches
K1021361,Kissling Relays
K1021362,Kissling Relays
K1021390,Kissling Inductive Switches
K1021410,Kissling Relays
K1021411,All Others
K1021419,Kissling Relays
K1021427,Kissling Relays
K1021429,Kissling Relays
K1021430,Kissling Relays
K1021432,Kissling Relays
K1021595,Kissling Relays
K1021598,All Others
K1021599,Kissling Relays
K1022698,All Others
K1022847,Kissling Relays
K1022848,Kissling Relays
K1022851,Kissling Relays
K1022866,Kissling Relays
K1022994,Kissling Relays
K1022996,Kissling Relays
K1022996-1,All Others
K1023026,All Others
K1023050,All Others
K1023314,Kissling Inductive Switches
K1023364,All Others
K1023365,All Others
K1023367,All Others
K1023452,Kissling Relays
K1023465,Kissling Relays
K1023490,Kissling Relays
K1023682,All Others
K1023742,Kissling Relays
K1023751,Kissling Relays
K1023760,Kissling Relays
K1023762,Kissling Relays
K1023768,Kissling Relays
K1023855,Kissling Inductive Switches
K1023856,Kissling Inductive Switches
K1023858,Kissling Inductive Switches
K1023862,All Others
K1023938,All Others
K1023979,Kissling Relays
K1023979-1,All Others
K1023979-2,All Others
K1024348,Kissling Limit Switches
K1024406,Kissling Limit Switches
K1024563,Kissling Limit Switches
K1024631,Kissling Limit Switches
K1024645,Kissling Limit Switches
K1024752,All Others
K1024998,Kissling Relays
K1040120,Kissling Inductive Switches
K1040530,Kissling Limit Switches
K1040531,Kissling Limit Switches
K1040680,All Others
K1040743,All Others
K1040936,All Others
K1041021,All Others
K1041050,All Others
K1041088,Kissling Inductive Switches
K1041174,All Others
K1041364,All Others
K1041454,All Others
K1041530,All Others
K1041966,All Others
K1042044,All Others
K1042062,All Others
K1042166,All Others
K1042191,All Others
K1042233,All Others
K1042368,All Others
K1050031,Kissling Limit Switches
K1050041,Kissling Limit Switches
K1050098,Kissling Limit Switches
K1050108,Kissling Limit Switches
K1050124,Kissling Limit Switches
K1050172,Kissling Limit Switches
K1050201,Kissling Limit Switches
K1050364,Kissling Limit Switches
K1050397,Kissling Limit Switches
K1050410,Kissling Limit Switches
K1050422,Kissling Limit Switches
K1050440,Kissling Limit Switches
K1050471,Kissling Limit Switches
K1050558,Kissling Limit Switches
K1050559,Kissling Limit Switches
K1050564,Kissling Limit Switches
K1050566,Kissling Limit Switches
K1050569,Kissling Limit Switches
K1050570,Kissling Limit Switches
K1050574,Kissling Limit Switches
K1050595,Kissling Limit Switches
K1050604,Kissling Limit Switches
K1050619,Kissling Limit Switches
K1050621,Kissling Limit Switches
K1050628,Kissling Limit Switches
K1050636,Kissling Limit Switches
K1050638,Kissling Limit Switches
K1050639,Kissling Limit Switches
K1050640,Kissling Limit Switches
K1050642,Kissling Limit Switches
K1050643,Kissling Limit Switches
K1050655,Kissling Limit Switches
K1050662,Kissling Limit Switches
K1050665,Kissling Limit Switches
K1050672,Kissling Limit Switches
K1050740,Kissling Limit Switches
K1050957,Kissling Limit Switches
K1050980,Kissling Limit Switches
K1051075,Kissling Limit Switches
K1051102,Kissling Limit Switches
K1060010,Kissling Relays
K1060022,Kissling Relays
K1060028,Kissling Relays
K1060041,Kissling Relays
K1060042,Kissling Relays
K1060044,Kissling Relays
K1060045,Kissling Relays
K1060046,Kissling Relays
K1060049,Kissling Relays
K1060058,Kissling Relays
K1060059,Kissling Relays
K1060086,Kissling Relays
K1060147,Kissling Relays
K1060155,Kissling Relays
K1060161,All Others
K1060185,Kissling Relays
K1060190,Kissling Relays
K1060191,Kissling Relays
K1060207,Kissling Relays
K1060224,Kissling Relays
K1060227,Kissling Relays
K1060242,Kissling Relays
K1060243,Kissling Relays
K1060247,Kissling Relays
K1060251,Kissling Relays
K1060251-1,Kissling Relays
K1060259,Kissling Relays
K1060265,Kissling Relays
K1060274,Kissling Relays
K1060277,Kissling Relays
K1060283,Kissling Relays
K1060294,Kissling Relays
K1060301,Kissling Relays
K1060303,Kissling Relays
K1060309,Kissling Relays
K1060319,Kissling Relays
K1060327,Kissling Relays
K1060329,Kissling Relays
K1060349,Kissling Relays
K1060354,Kissling Relays
K1060370,Kissling Relays
K1060377,Kissling Relays
K1060391,Kissling Relays
K1060393,Kissling Relays
K1060400,Kissling Relays
K1060405,Kissling Relays
K1060418,Kissling Relays
K1060487,Kissling Relays
K1060489,Kissling Relays
K1060540,Kissling Relays
K1060542,Kissling Relays
K1060549,Kissling Relays
K1060570,Kissling Relays
K1060573,Kissling Relays
K1060583,All Others
K1060584,Kissling Relays
K1060596,Kissling Relays
K1060597,Kissling Relays
K1060611,Kissling Relays
K1060617,Kissling Relays
K1060650,Kissling Relays
K1060680,Kissling Relays
K1060688,Kissling Relays
K1060691,Kissling Relays
K1060709,Kissling Relays
K1060724,Kissling Relays
K1060750,Kissling Relays
K1060751,Kissling Relays
K1060752,Kissling Relays
K1060753,Kissling Relays
K1060756,Kissling Relays
K1060770,Kissling Relays
K1060820,Kissling Relays
K1060837,Kissling Relays
K1070300,All Others
K1070308,All Others
K1120031,All Others
K1120194,All Others
K1120554-1,All Others
K1120587,Kissling Relays
K1120603-1,All Others
K1120607,All Others
K1120618,Kissling Relays
K1121071,All Others
K1121152,Kissling Relays
K1121763,Kissling Relays
K1121830,Kissling Relays
K1121835,Kissling Relays
K1121861,Kissling Relays
K1122253,All Others
K1122258,All Others
K1122258-1,All Others
K1122327,Kissling Relays
K1122715,All Others
K1122722,All Others
K1122917,Kissling Limit Switches
K1123099,All Others
K1123113,Kissling Limit Switches
K1123120,All Others
K1123571,Kissling Relays
K1123731,All Others
K1123794,All Others
K1123870,Kissling Inductive Switches
K1123882,Kissling Relays
K1123883,All Others
K1123960,Kissling Relays
K1124232,Kissling Relays
K1124233,Kissling Relays
K1124484,Kissling Relays
K1124556,Kissling Limit Switches
K1124729,Kissling Limit Switches
K1124890,Kissling Limit Switches
K1124893,Kissling Limit Switches
K1124917,All Others
K1124918,All Others
K1124919,All Others
K1124920,All Others
K1125303,Kissling Relays
K1125472,Kissling Relays
K1125644,Kissling Limit Switches
K1125744,All Others
K1125892,All Others
K1125921,All Others
K1126139,Kissling Relays
K1126251,Kissling Inductive Switches
K1126327,Kissling Relays
K1126415,Kissling Relays
K1126416,Kissling Relays
K1126465,Kissling Relays
K1126490,All Others
K1126496,Kissling Inductive Switches
K1126511,Kissling Inductive Switches
K1126712,Kissling Limit Switches
K1126883,Kissling Relays
K1127019,All Others
K1127062,All Others
K1127071,All Others
K1127072,All Others
K1127409,Kissling Relays
K1127684,Kissling Relays
K1127693,Kissling Relays
K1127698,All Others
K1127737,All Others
K1128160,Kissling Relays
K1128203,Kissling Relays
K1128207,Kissling Relays
K1128729,All Others
K1129133,Kissling Relays
K1129361,Kissling Relays
K1129460,Kissling Relays
K1129502,Kissling Relays
K1129539,Kissling Relays
K1129657,Kissling Relays
K1129773,Kissling Limit Switches
K1129928,Kissling Relays
K1129930,All Others
K1130021,Kissling Relays
K1130057,Kissling Relays
K1130253,Kissling Limit Switches
K1130516,All Others
K1130773,Kissling Relays
K1130783,Kissling Relays
K1130834,Kissling Inductive Switches
K1130921,All Others
K1131030,Kissling Relays
K1131165,All Others
K1131593,Kissling Relays
K1131955,Kissling Relays
K1131957,All Others
K1132047,Kissling Relays
K1132061,Kissling Relays
K1132069,All Others
K1132089,All Others
K1132114,All Others
K1132159,Kissling Relays
K1132166,Kissling Relays
K1132223,All Others
K1132333,All Others
K1132610,Kissling Relays
K1132686,All Others
K1132850,Kissling Relays
K1133246,Kissling Relays
K1133264,All Others
K1133295,Kissling Relays
K1133413,Kissling Limit Switches
K1133444,Kissling Relays
K1133449,Kissling Relays
K1133737,Kissling Relays
K1133909,Kissling Relays
K1133959,All Others
K1134313,All Others
K1134358,Kissling Relays
K1134370,Kissling Relays
K1134414,Kissling Relays
K1134548,Kissling Limit Switches
K1134702,Kissling Relays
K1135217,All Others
K1135502,All Others
K1135556,Kissling Relays
K1135600,Kissling Inductive Switches
K1135605,Kissling Inductive Switches
K1135606,Kissling Inductive Switches
K1135607,Kissling Inductive Switches
K1135617,All Others
K1135903,Kissling Relays
K1136030,Kissling Limit Switches
K1136055,All Others
K1136090,Kissling Relays
K1136258,Kissling Relays
K1136273,Kissling Inductive Switches
K1136317,Kissling Relays
K1136381,Kissling Relays
K1136395,All Others
K1136544,Kissling Relays
K1136731,All Others
K1136825,Kissling Limit Switches
K1137773,Kissling Limit Switches
K1137791,Kissling Relays
K1137793,Kissling Relays
K1137802,Kissling Limit Switches
K1137930,All Others
K1137934,All Others
K1138171,Kissling Relays
K1138174,All Others
K1138370,Kissling Limit Switches
K1138411,Kissling Relays
K1138451,Kissling Relays
K1138453,Kissling Relays
K1138896,All Others
K1138903,All Others
K1138906,All Others
K1138962,All Others
K1139065,All Others
K1139190,Kissling Relays
K1139297,Kissling Relays
K1139462,All Others
K1139662,All Others
K1139662-1,All Others
K1139893,All Others
K1139908,Kissling Relays
K1139980,Kissling Relays
K1140022,All Others
K1140030,Kissling Relays
K1140094,Kissling Relays
K1140421,Kissling Relays
K1140511,All Others
K1140572,Kissling Relays
K1140573,Kissling Relays
K1140588,Kissling Relays
K1140667,All Others
K1140690,Kissling Relays
K1140735,Kissling Limit Switches
K1140769,Kissling Relays
K1140789,Kissling Limit Switches
K1140885,All Others
K1140890,All Others
K1141012,All Others
K1141181,Kissling Relays
K1141253,Kissling Limit Switches
K1141456,Kissling Limit Switches
K1141797,Kissling Inductive Switches
K1141798,Kissling Inductive Switches
K1141842,All Others
K1141843,All Others
K1141877,All Others
K1141879,All Others
K1141880,All Others
K1141958,All Others
K1142015,All Others
K1142028,Kissling Limit Switches
K1142029,Kissling Limit Switches
K1142108,Kissling Inductive Switches
K1142143,Kissling Relays
K1142223,Kissling Limit Switches
K1142227,All Others
K1142228,Kissling Relays
K1142300,Kissling Limit Switches
K1142490,All Others
K1142609,Kissling Relays
K1142656,Kissling Relays
K1142786,All Others
K1142806,Kissling Limit Switches
K1143046,All Others
K1143403,Kissling Relays
K1143488,Kissling Limit Switches
K1143513,Kissling Limit Switches
K1143583,All Others
K1143645,All Others
K1143682,All Others
K1143718,All Others
K1143723,Kissling Relays
K1143832,Kissling Relays
K1143856,Kissling Relays
K1144269,Kissling Relays
K1144273,Kissling Relays
K1144296,Kissling Relays
K1144434,Kissling Limit Switches
K1144762,Kissling Relays
K1144876,Kissling Limit Switches
K1145038,All Others
K1145093,Kissling Relays
K1145281,All Others
K1145355,All Others
K1145366,Kissling Limit Switches
K1145476,All Others
K1145687,Kissling Relays
K1145778,Kissling Relays
K1145842,All Others
K1145843,All Others
K1146047,All Others
K1146079,Kissling Relays
K1146228,Kissling Relays
K1146403,Kissling Limit Switches
K1146408,Kissling Limit Switches
K1146552,Kissling Relays
K1146593,Kissling Relays
K1146886,Kissling Limit Switches
K1146993,Kissling Relays
K1147050,All Others
K1147168,All Others
K1147224,All Others
K1147241,All Others
K1147389,Kissling Relays
K1147622,Kissling Relays
K1147682,Kissling Relays
K1147927,All Others
K1147998,All Others
K1148154,Kissling Relays
K1148595,All Others
K1148741,Kissling Relays
K1148907,Kissling Limit Switches
K1148931,Kissling Relays
K1148941,Kissling Limit Switches
K1148948-1,All Others
K1149129,Kissling Relays
K1149192,Kissling Relays
K1149260,Kissling Limit Switches
K1149275,Kissling Limit Switches
K1149335,Kissling Relays
K1149401,All Others
K1149408,Kissling Relays
K1149413,All Others
K1149524,Kissling Relays
K1149590,All Others
K1149701,Kissling Relays
K1149713,Kissling Limit Switches
K1149731,Kissling Limit Switches
K1149732,Kissling Limit Switches
K1149808,All Others
K1149884,Kissling Relays
K1150016,Kissling Relays
K1150024,All Others
K1150115,Kissling Limit Switches
K1150148,All Others
K1150166,Kissling Limit Switches
K1150261,Kissling Limit Switches
K1150547,All Others
K1150705,All Others
K1150953,All Others
K1151027,Kissling Relays
K1151132,All Others
K1151166,All Others
K1151406,All Others
K1151414,Kissling Relays
K1151452,All Others
K1151454,Kissling Relays
K1151559,Kissling Relays
K1151649,All Others
K1151701,Kissling Limit Switches
K1151715,Kissling Relays
K1151721,Kissling Relays
K1151804,Kissling Relays
K1151947,All Others
K1151963,Kissling Relays
K1152058,Kissling Limit Switches
K1152153,Kissling Limit Switches
K1152156,Kissling Relays
K1152268,All Others
K1152269,All Others
K1152406,All Others
K1152517,All Others
K1152628,All Others
K1152831,Kissling Relays
K1152919,Kissling Limit Switches
K1152921,Kissling Limit Switches
K1152943,All Others
K1153019,Kissling Limit Switches
K1153247,All Others
K1153289,Kissling Limit Switches
K1153528,Kissling Limit Switches
K1153619,All Others
K1153721,Kissling Limit Switches
K1153839,Kissling Relays
K1153942,All Others
K1154007,All Others
K1154009,All Others
K1154032,Kissling Relays
K1154149,Kissling Limit Switches
K1154325,All Others
K1154384,Kissling Relays
K1154429,Kissling Relays
K1154626-1,All Others
K1154986,All Others
K1155006,All Others
K1155069,Kissling Relays
K1155077,Kissling Limit Switches
K1155316,All Others
K1155361,Kissling Limit Switches
K1155362,Kissling Limit Switches
K1155405,Kissling Relays
K1155460,Kissling Inductive Switches
K1155554,All Others
K1155702,All Others
K1155907,All Others
K1156031,Kissling Limit Switches
K1156173,Kissling Limit Switches
K1156175,All Others
K1156217,All Others
K1156244,Kissling Relays
K1156373,Kissling Limit Switches
K1156392,All Others
K1156397,Kissling Limit Switches
K1156426,Kissling Relays
K1156439,Kissling Limit Switches
K1156492,Kissling Limit Switches
K1156830,Kissling Inductive Switches
K1156832,Kissling Inductive Switches
K1156868,All Others
K1156884,Kissling Relays
K1157163,All Others
K1157179,Kissling Relays
K1157218,Kissling Relays
K1157247,Kissling Limit Switches
K1157260,All Others
K1157274,All Others
K1157303,All Others
K1157485,Kissling Relays
K1157577,Kissling Relays
K1157631,All Others
K1157812,Kissling Relays
K1157820,All Others
K1157959,All Others
K1158065,All Others
K1158076,Kissling Relays
K1158163,Kissling Relays
K1158172,All Others
K1158221,All Others
K1158393,All Others
K1158735,Kissling Relays
K1158824,Kissling Relays
K1158881,All Others
K1158916,Kissling Relays
K1158969,Kissling Relays
K1158977,Kissling Relays
K1158985,All Others
K1159214,All Others
K1159396,Kissling Relays
K1159655,All Others
K1159711,Kissling Limit Switches
K1159712,Kissling Limit Switches
K1159772,All Others
K1159796,All Others
K1159959,Kissling Limit Switches
K1160161,Kissling Limit Switches
K1160219,All Others
K1160224,Kissling Relays
K1160278,All Others
K1160357,Kissling Relays
K1160369,Kissling Relays
K1160473,Kissling Relays
K1160527,All Others
K1160758,All Others
K1160763,All Others
K1160799,All Others
K1160848,Kissling Relays
K1160964,Kissling Limit Switches
K1160973,Kissling Relays
K1160981,Kissling Relays
K1161062,Kissling Limit Switches
K1161085,All Others
K1161092,All Others
K1161298,All Others
K1161557,Kissling Limit Switches
K1161759,All Others
K1161761,All Others
K1161854,All Others
K1162368,All Others
K1162519,All Others
K1162562,Kissling Relays
K1162563,Kissling Relays
K1162721,Kissling Relays
K1162850,Kissling Limit Switches
K1163015,Kissling Inductive Switches
K1163095,All Others
K1163161,All Others
K1163271,Kissling Limit Switches
K1163410,All Others
K1163442,Kissling Relays
K1163464,Kissling Limit Switches
K1163475,All Others
K1163478,All Others
K1163513,All Others
K1163557,All Others
K1163644,Kissling Relays
K1163793,Kissling Inductive Switches
K1163870,All Others
K1163871,All Others
K1163949,Kissling Inductive Switches
K1164036,Kissling Relays
K1164098,Kissling Limit Switches
K1164264,All Others
K1164716,All Others
K1164723,All Others
K1164743,Kissling Relays
K1164815,All Others
K1165434,Kissling Limit Switches
K1165565,Kissling Limit Switches
K1165750,Kissling Limit Switches
K1165753,Kissling PDUs
K1165833,All Others
K1166144,All Others
K1166181,Kissling Relays
K1166186,Kissling Limit Switches
K1166423,Kissling Limit Switches
K1166557,All Others
K1166595,Kissling Relays
K1166618,All Others
K1166763,Kissling Relays
K1166869,All Others
K1166873,All Others
K1166912,Kissling Relays
K1167013,Kissling Relays
K1167015,Kissling Relays
K1167017,Kissling Relays
K1167031,Kissling Relays
K1167032,Kissling Relays
K1167037,Kissling Relays
K1167046,All Others
K1167048,All Others
K1167145,All Others
K1167227,All Others
K1167312,Kissling Relays
K1167330,Kissling Limit Switches
K2000166,All Others
K2001319,All Others
K2001676,All Others
K2001791,All Others
K2001813,All Others
K2001858,All Others
K2001862,All Others
K2001883,All Others
K2002263,All Others
K2002265,All Others
K2006924,Kissling Limit Switches
K2006937,Kissling Limit Switches
K2006976,Kissling Limit Switches
K2007056,Kissling Limit Switches
K2009547,All Others
K2009661,Kissling Limit Switches
K2009770,Kissling Limit Switches
K2009902,Kissling Limit Switches
K2009903,Kissling Limit Switches
K2009904,Kissling Limit Switches
K2009920,Kissling Limit Switches
K2014948,All Others
K2014949,All Others
K2014967,All Others
K2015011,Kissling Limit Switches
K2015292,Kissling Limit Switches
K2015358,Kissling Limit Switches
K2015565,Kissling Limit Switches
K2015567,Kissling Limit Switches
K2015568,Kissling Limit Switches
K2015570,Kissling Limit Switches
K2015571,Kissling Limit Switches
K2015827,Kissling Limit Switches
K2015937,Kissling Limit Switches
K2017303,Kissling Limit Switches
K2017618,Kissling Limit Switches
K2017720,Kissling Limit Switches
K2017796,All Others
K2017835,Kissling Limit Switches
K2017842,Kissling Limit Switches
K2018276,Kissling Limit Switches
K2018277,Kissling Limit Switches
K2018278,Kissling Limit Switches
K2018279,Kissling Limit Switches
K2018280,Kissling Limit Switches
K2018297,Kissling Inductive Switches
K5000008,All Others
K5000080,All Others
K5000336,All Others
K5000338,All Others
M902-2053,All Others
M902-2162,All Others
M902-2163,All Others
M902-2193,All Others
M902-2194,All Others
M902-2243,All Others
M902-2343,All Others
NB07394001,All Others
NB07806001,All Others
NB07884001,All Others
NB09304001,All Others
NB09542001,All Others
NB09944001,All Others
NB10132001,All Others
NB10802001,All Others
NB11354001,All Others
NB11784001,All Others
NB14534001,All Others
NB25822001,All Others
NB25842001,All Others
NB25882001,All Others
NB33842001,All Others
SRK02-FLA-64A-001,All Others
SRK02-FLB-64A-001,All Others
SRK02-FLC-64A-001,All Others
SRK02-MDA-32A-001,All Others
SRK02-MDB-32A-001,All Others
SRK02-MDC-32A-001,All Others
SRK06-FLA-64A-001,All Others
SRK06-FLD-64A-001,All Others
SRK06-MDA-32A-001,All Others
SRK06-MDB-32A-001,All Others
SRK06-MDC-32A-001,All Others
SRK06-MDD-32A-001,All Others
SRK06-MDE-32A-001,All Others
SRK13-MDA-32A-001,Engels
SRK13-MDB-32A-001,Engels
SRK15-MDA-32A-001,Engels
SRK15MDA32A001G003,Engels
SRK15-MDB-32A-001,Engels
SRK15MDB32A001G003,Engels
SRK15-MDC-32A-001,Engels
SRK15-MDD-32A-001,Engels
SRK15-MDE-32A-001,Engels
SRK15-MDF-32A-001,Engels
SRK-BS-FL-90-001,All Others
SRK-BS-MD-ST-001,All Others
SRK-PC-080-25-601,All Others
SRK-SC-080-32-601,All Others
T4151110008-003,All Others
W12P,All Others
W12S,All Others
W12S-P012,All Others
W2P,All Others
W2PA,All Others
W2PB,All Others
W2PC,All Others
W2PD,All Others
W2P-P004,All Others
W2S,All Others
W2SA,All Others
W2SA-P012,All Others
W2SB,All Others
W2SB-P012,All Others
W2SC,All Others
W2SD,All Others
W2SD-P012,All Others
W2S-P012,All Others
W2S-P070,All Others
W3P,All Others
W3P-1939,All Others
W3S,All Others
W3S-1939,All Others
W3S-1939-P012,All Others
W3S-P012,All Others
W4P,All Others
W4P-P004,All Others
W4SA,All Others
W4SC,All Others
W4SD,All Others
W4S-P012,All Others
W4S-ZZ,All Others
W6P,All Others
W6S,All Others
W6S2-P012,All Others
W6S-P012,All Others
W8P,All Others
W8S,All Others
W8S-P012,All Others
WB-48SA,All Others
WB-48SB,All Others
WB-51PAL,All Others
WB-51PAR,All Others
WB-51SAL,All Others
WB-51SAR,All Others
WB-60PA,All Others
WB-60PB,All Others
WB-60SA,All Others
WB-64SA,All Others
WELDON-MINI-16X0,All Others
WELDON-MINI-4X12,All Others
WHDS-18-1,All Others
WHDS-24-2,All Others
WM-12P,All Others
WM-12S,All Others
WM-2P,All Others
WM-2S,All Others
WM-2SB,All Others
WM-3P,All Others
WM-3S,All Others
WM-4P,All Others
WM-4S,All Others
WM-6P,All Others
WM-6S,All Others
WM-8P,All Others
WM-8S,All Others
WP-2P,All Others
WP-2S,All Others
WP-4P,All Others
WP-4S,All Others
WV-18P,All Others
WV-18S,All Others
YDRBM-3A0000000000,All Others
YDT04-08PA-P027000,DTM
Y-DT04-2P-E005-KIT,All Others
YDT04-2P-P06000000,DTM
YDTM04-2P-E007-KIT,All Others
YHC590200000000000,All Others
YHC593200000000000,All Others
YHC593300000000000,All Others
YHC593500000000000,All Others
YHD34-24-91PE-0720,HD30
YHD34-24-91PN-0720,HD30
YHD36-24-91SE00000,HD30
YHD36-24-91SE-0590,HD30
YHD362491SEP064059,HD30
YHDP24-18-14PEC041,HDP
YHDP24-18-14PEL024,HDP
YHDP24-18-20PEL024,HDP
YHDP24-18-20PNL024,HDP
YHDP24-24-18PEL024,HDP
YHDP24-24-18PNL024,HDP
YHDP24-24-19PEL024,HDP
YHDP24-24-19SEL024,HDP
YHDP24-24-21PEL024,HDP
YHDP24-24-21PNL024,HDP
YHDP24-24-21SEL024,HDP
YHDP24-24-23PEL024,HDP
YHDP24-24-29PEL024,HDP
YHDP24-24-29SEL024,HDP
YHDP24-24-31PEL024,HDP
YHDP24-24-35PEL024,HDP
YHDP24-24-47PEL024,HDP
YHDP24-24-7PN-CL22,HDP
YHDP24-24-91PEL024,HDP
YHDP24-24-9PE-L024,HDP
YHDP26-18-14SECL20,HDP
YHDP26-18-14SEL024,HDP
YHDP26-18-20SEL024,HDP
YHDP26-18-20SNL024,HDP
YHDP26-18-6SN-CL21,HDP
YHDP26-24-16SNL024,HDP
YHDP26-24-18SEL024,HDP
YHDP26-24-18SNL024,HDP
YHDP26-24-19PEL024,HDP
YHDP26-24-19SEL024,HDP
YHDP26-24-21SEL024,HDP
YHDP26-24-21SNL024,HDP
YHDP26-24-23PEL024,HDP
YHDP26-24-23SEL024,HDP
YHDP262429SEL017KT,All Others
YHDP26-24-29SEL024,HDP
YHDP26-24-31PEL024,HDP
YHDP26-24-31SEL024,HDP
YHDP26-24-31STL024,HDP
YHDP26-24-35PEL017,HDP
YHDP26-24-35SEL024,HDP
YHDP26-24-35SNL024,HDP
YHDP26-24-47SEL024,HDP
YHDP26-24-7SN-CL22,HDP
YHDP26-24-91SEL024,HDP
YHDP26-24-9SE-L024,HDP
YHVA280-3PXM-A-000,All Others
YHVA630-4PHM-4MM-A,All Others
YHVA630-5PHM-6MM-A,All Others
YIPT-1PXI-70MM-000,All Others
ZPF000000000130008,All Others
=======
"DRC26-50S01","DRC"
"DRC12-70PA","DRC"
"DRC26-24SA","DRC"
"DRC16-70SA-P013","DRC"
"DRC12-70PAE","DRC"
"DRC12-40PA","DRC"
"DRC26-50S04","DRC"
"DRC12-40PAE","DRC"
"DRC26-40SA","DRC"
"DRC16-70SAE-P013","DRC"
"DRC16-40S","DRC"
"DRC26-40SB-L011","DRC"
"DRC12-24PA","DRC"
"DRC26-40SA-L011","DRC"
"DRC16-70SAE","DRC"
"DRC26-50S07","DRC"
"DRC16-70SDE","DRC"
"DRC16-70SA","DRC"
"DRC26-60S05","DRC"
"DRC18-40SA-P013","DRC"
"DRC12-70PBE","DRC"
"DRC16-24SA","DRC"
"DRC16-70SBE-P013","DRC"
"DRC16-70SAE-P066","DRC"
"DRC16-24SAE","DRC"
"DRC16-40SE","DRC"
"DRC22-40PA","DRC"
"DRC16-70SCE","DRC"
"DRC16-70SDE-P013UK","DRC"
"DRC26-60S07","DRC"
"DRC12-40PB","DRC"
"DRC16-70SCE-P013UK","DRC"
"DRC12-70PB","DRC"
"AEC16-40SA","DRC"
"AEC16-40SAE-E019","DRC"
"DRC12-24PBE","DRC"
"DRC16-40S-P013","DRC"
"DRC16-70SB-P013","DRC"
"DRC16-70SDE-P013","DRC"
"DRC16-70SB","DRC"
"DRC12-24PAE","DRC"
"DRC14-40PA","DRC"
"DRC18-40SAE-P013","DRC"
"DRC26-60S06","DRC"
"DRC18-40SAE","DRC"
"DRC16-70SBE","DRC"
"DRC26-50S02","DRC"
"DRC16-70SBE-P066","DRC"
"DRC18-40SB","DRC"
"DRC16-70SCE-P013","DRC"
"AEC16-40SD","DRC"
"0504-002-4001","DRC"
"DRC26-40SC","DRC"
"DRC12-24PC","DRC"
"DRC12-24PB","DRC"
"DRC16-70SAE-PP05","DRC"
"AEC16-40SB","DRC"
"DRC16-70SC","DRC"
"DRC26-40SB","DRC"
"DRC16-24SB","DRC"
"DRC18-40SBE","DRC"
"DRC12-24PCE","DRC"
"DRC16-70SBE-P013UK","DRC"
"DRC18-40SA","DRC"
"DRC14-40PAE","DRC"
"DRC26-50S03","DRC"
